t,q_actual_0,dq_actual_0,tau_est_0,q_cmd_0,q_ref_0,dq_ref_0,q_actual_1,dq_actual_1,tau_est_1,q_cmd_1,q_ref_1,dq_ref_1,q_actual_2,dq_actual_2,tau_est_2,q_cmd_2,q_ref_2,dq_ref_2,q_actual_3,dq_actual_3,tau_est_3,q_cmd_3,q_ref_3,dq_ref_3,q_actual_4,dq_actual_4,tau_est_4,q_cmd_4,q_ref_4,dq_ref_4,q_actual_5,dq_actual_5,tau_est_5,q_cmd_5,q_ref_5,dq_ref_5,q_actual_6,dq_actual_6,tau_est_6,q_cmd_6,q_ref_6,dq_ref_6,q_actual_7,dq_actual_7,tau_est_7,q_cmd_7,q_ref_7,dq_ref_7,q_actual_8,dq_actual_8,tau_est_8,q_cmd_8,q_ref_8,dq_ref_8,q_actual_9,dq_actual_9,tau_est_9,q_cmd_9,q_ref_9,dq_ref_9,q_actual_10,dq_actual_10,tau_est_10,q_cmd_10,q_ref_10,dq_ref_10,q_actual_11,dq_actual_11,tau_est_11,q_cmd_11,q_ref_11,dq_ref_11
0.02,0.02429,-0.0387552,-1.41008,-0.188532,5.91319e-06,-0.0154655,0.984216,-0.0387552,1.38534,1.06275,0.999993,-0.0768512,-2.09494,0.0181981,8.06056,-1.93805,-2.00003,0.241357,-0.0218375,-0.0697594,1.4843,0.168303,6.32001e-07,-0.0154415,0.985003,-0.0542573,1.21218,0.941197,0.999993,-0.0680804,-2.09984,-0.0141541,8.29763,-1.8629,-2.00002,0.277561,0.092571,0.0465063,-5.88771,-0.220517,-2.57629e-06,0.0212137,0.996079,-0.00387552,0.346336,1.14151,1,0.077796,-2.10715,0.0101101,8.96144,-1.8288,-2,-0.068301,-0.0876054,0.0310042,5.44242,0.1629,7.81515e-07,0.0212362,0.986663,0.089137,0.964793,1.15218,0.999999,0.106311,-2.11072,-0.0323522,9.24593,-1.77821,-2.00001,-0.0712633
0.04,0.0162362,-0.972756,-3.26545,-0.118655,-0.000303396,-0.0231184,0.977948,1.39906,0.272121,0.946225,0.998456,-0.167821,-2.0953,-0.00606604,6.82777,-1.86934,-1.9952,0.324887,-0.0171142,0.592955,3.24072,0.00849096,-0.000308197,-0.0229695,0.969743,0.189901,-0.841102,0.961144,0.998631,-0.140069,-2.09785,0.131431,9.67267,-1.89932,-1.99446,0.401741,0.0900579,-0.457312,-5.98666,-0.10227,0.000421698,0.0676305,1.00359,-0.0465063,2.96859,0.904839,1.00156,0.0375807,-2.10486,0.0930126,11.6641,-1.93764,-2.00137,-0.0893682,-0.0889074,0.395303,4.8487,0.152913,0.000425505,0.0677107,0.984755,0.972756,2.72121,0.985961,1.00212,0.114882,-2.10221,1.09189,11.4744,-1.86448,-2.00144,-0.109541
0.06,0.0175987,0.306166,-3.01807,-0.177211,-0.000918824,-0.0573982,0.975072,-0.527071,0,1.06442,0.99328,-0.320549,-2.09339,0.477195,8.43988,-1.93117,-1.98703,0.371146,-0.0244414,-0.503818,1.21218,0.245648,-0.000918146,-0.0566866,0.969137,0,-0.14843,0.968955,0.99439,-0.248249,-2.09793,0.141541,8.01314,-1.84541,-1.98395,0.510022,0.0923893,0.108515,-4.08182,-0.183517,0.00270264,0.137685,0.986481,-1.51533,-0.247383,1.17824,1.0015,-0.0746936,-2.10663,0.238597,6.3062,-1.78577,-2.00357,-0.134826,-0.0921773,0.0697594,5.02187,0.144847,0.00270921,0.138142,0.975823,-0.368175,0.56898,1.10867,1.00459,0.105375,-2.1006,0.133453,9.38818,-1.82136,-2.00439,-0.2047
0.08,0.011089,-0.561951,-3.46336,-0.0992144,-0.00259932,-0.116095,0.978614,0,1.78116,0.991207,0.985634,-0.397743,-2.09243,-0.0586384,6.82777,-1.99801,-1.98035,0.234947,-0.0148434,0.515445,4.92292,0.0186259,-0.00257566,-0.114322,0.969622,-0.0271287,0,0.996227,0.988701,-0.281359,-2.0951,0.0808805,10.2891,-1.98734,-1.97406,0.395533,0.0862127,0.236407,-5.86297,-0.0618848,0.00592911,0.155176,0.997593,0.895246,2.86964,0.968826,0.99857,-0.186516,-2.09513,0.628846,12.0908,-1.93861,-2.00676,-0.21916,-0.0929948,-0.178274,5.12082,0.0910718,0.0059512,0.156587,0.977428,-0.104639,2.91912,1.02432,1.00634,0.0806749,-2.09706,0.228487,10.9529,-1.90234,-2.00962,-0.348651
0.1,0.0131781,0.0930126,-2.44909,-0.134321,-0.0055626,-0.158814,0.974103,-0.0930126,0.371074,1.00802,0.97737,-0.39266,-2.09423,0.0404403,3.88803,-1.96361,-1.97763,-0.00888705,-0.0241689,-0.716972,1.4843,0.148779,-0.00549102,-0.155908,0.971136,0.178274,0.371074,0.96417,0.983136,-0.254495,-2.09652,0.0849245,4.21994,-1.90864,-1.96812,0.144628,0.0928738,0.0930126,-3.24072,-0.145513,0.0089097,0.137153,0.984846,-0.480565,0.14843,1.15959,0.994044,-0.238948,-2.09886,0.0727924,6.40103,-1.80846,-2.01234,-0.365454,-0.0962345,0.0232531,3.95813,0.116964,0.0089727,0.139789,0.971645,-0.213154,1.36061,1.08304,1.00782,0.062719,-2.09635,0.0869465,7.8709,-1.86247,-2.01834,-0.527245
0.12,0.00881819,-0.178274,-2.82016,-0.078516,-0.00895188,-0.149306,0.972952,-0.155021,0.841102,1.00531,0.969927,-0.332665,-2.09371,-0.0727924,5.59497,-2.02564,-1.98071,-0.325307,-0.0206264,0.244158,3.33967,-0.00311608,-0.00881197,-0.145619,0.968047,-0.317793,0.272121,0.98727,0.978522,-0.202805,-2.09383,0.00606604,7.8709,-2.00981,-1.96828,-0.184059,0.0863035,0.166648,-4.92292,-0.0381544,0.0114152,0.124203,0.994959,0.220905,3.36441,1.01673,0.989012,-0.254942,-2.09322,-0.0202201,12.2331,-1.93778,-2.02138,-0.539857,-0.0971731,-0.158896,4.62606,0.0697096,0.0115428,0.127553,0.971918,-0.0852615,2.39961,1.03445,1.00885,0.0213504,-2.09461,-0.00606604,9.62525,-1.92535,-2.03071,-0.687444
0.14,0.0114523,0.0542573,-1.88011,-0.119059,-0.0115348,-0.0883511,0.973497,0.073635,0.519504,1.01472,0.964064,-0.250499,-2.09867,-0.370028,3.84062,-1.9866,-1.99065,-0.661185,-0.0319199,-0.550324,1.03901,0.110852,-0.0113158,-0.084358,0.969259,0.302291,0.0742148,0.961467,0.975024,-0.152044,-2.09712,-0.147607,3.69837,-1.94529,-1.97549,-0.524917,0.0916929,-0.124017,-2.54804,-0.106694,0.0138778,0.133138,0.983877,-0.279038,0.86584,1.12035,0.983846,-0.263865,-2.09766,-0.109189,6.78035,-1.85326,-2.03394,-0.689477,-0.100928,0.166648,3.38914,0.0937855,0.0140748,0.136144,0.969768,0.0542573,1.36061,1.07496,1.00867,-0.0560582,-2.09597,-0.0222421,7.11226,-1.89213,-2.04584,-0.783175
0.16,0.0069107,-0.174399,-2.49857,-0.0577493,-0.0124859,-0.00547105,0.973285,-0.143394,0.964793,1.02139,0.959908,-0.17314,-2.10263,-0.123343,5.21565,-2.03544,-2.00716,-0.943899,-0.0288619,0.228656,2.74595,-0.0127575,-0.0121863,-0.00158718,0.968653,-0.104639,-0.0247383,0.980633,0.97244,-0.114411,-2.09734,-0.0808805,6.40103,-2.03014,-1.98928,-0.806555,0.0893918,0.151145,-4.30446,-0.0577796,0.0167408,0.154395,0.988207,-0.0193776,2.74595,1.05053,0.978457,-0.28109,-2.09628,-0.119299,10.4313,-1.92764,-2.04896,-0.761312,-0.100019,0.0658839,3.95813,0.0831638,0.0169885,0.156116,0.970737,-0.0697594,2.22645,1.05867,1.00661,-0.157019,-2.09571,-0.0525723,8.48729,-1.92339,-2.06204,-0.784904
0.18,0.00930262,-0.073635,-1.36061,-0.0802826,-0.0117537,0.0629939,0.973952,0.11239,0.791625,1.01007,0.957138,-0.117104,-2.11116,-0.475173,4.12511,-2.00374,-2.0284,-1.10487,-0.0369157,-0.414681,0.841102,0.0508769,-0.0113793,0.0664864,0.969743,0.189901,0,0.972329,0.970447,-0.0920579,-2.10211,-0.349808,3.4613,-1.99319,-2.00775,-0.968188,0.0932673,0.120141,-3.19124,-0.142072,0.0200536,0.167762,0.982969,-0.395303,1.78116,1.15225,0.972603,-0.309342,-2.0989,-0.0181981,7.01743,-1.83174,-2.06439,-0.715148,-0.0989292,0.135643,3.686,0.130315,0.0203195,0.167911,0.970283,0.0465063,1.88011,1.10544,1.00239,-0.25823,-2.09641,-0.00202201,7.01743,-1.89283,-2.07723,-0.678265
0.2,0.00527571,-0.189901,-1.63273,-0.0652241,-0.00996617,0.0924633,0.97268,-0.108515,0.791625,1.01097,0.955223,-0.0870168,-2.11541,-0.200179,5.12082,-2.02064,-2.05135,-1.10295,-0.0359771,-0.0930126,1.83063,0.00598813,-0.00952684,0.0954732,0.970197,0.0465063,0.0742148,0.984548,0.968758,-0.0810698,-2.10372,-0.115255,4.83633,-2.01836,-2.028,-0.975227,0.0902093,-0.0387552,-4.82397,-0.103791,0.0234512,0.158461,0.984876,-0.0930126,3.66127,1.08016,0.966083,-0.344017,-2.09654,-0.123343,11.3796,-1.8935,-2.07756,-0.534928,-0.095629,0.0542573,4.70027,0.111658,0.023705,0.157487,0.971312,-0.0697594,2.82016,1.0726,0.996277,-0.339055,-2.09601,-0.0202201,8.48729,-1.91974,-2.08917,-0.464773
